path_img,bbox,class_id
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_000.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_001.jpg,"[[625.5, 134.0, 29.0, 58.0], [576.0, 195.0, 46.0, 68.0], [622.5, 277.0, 35.0, 68.0]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_002.jpg,"[[501.0, 134.0, 36.0, 58.0], [448.0, 195.0, 46.0, 68.0], [502.0, 277.0, 50.0, 68.0]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_003.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_004.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_005.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_006.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_007.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_70_0_07716_jpg.rf.a55792770fdca07819470900e71138e2_tile_008.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0592_jpg.rf.86363074b558e17b3c08a06c9df9801e_tile_000.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0592_jpg.rf.86363074b558e17b3c08a06c9df9801e_tile_001.jpg,"[[489.5, 447.5, 21.0, 47.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_000.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_001.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_002.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_003.jpg,"[[291.0, 288.0, 32.0, 60.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_004.jpg,"[[354.0, 421.0, 46.0, 58.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_005.jpg,"[[226.0, 421.0, 46.0, 58.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_006.jpg,"[[291.0, 185.0, 32.0, 60.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_007.jpg,"[[354.0, 318.0, 46.0, 58.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_70_30_0_07585_jpg.rf.2ae3689f638295578dbf0755381a97f9_tile_008.jpg,"[[226.0, 318.0, 46.0, 58.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0382_jpg.rf.71e0cd0fd3cd783f0ea658bc37428aba_tile_000.jpg,"[[444.5, 170.5, 17.0, 31.0], [310.0, 446.0, 22.0, 40.0], [163.0, 485.0, 20.0, 28.0]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0382_jpg.rf.71e0cd0fd3cd783f0ea658bc37428aba_tile_001.jpg,"[[444.5, 42.5, 17.0, 31.0], [310.0, 318.0, 22.0, 40.0], [163.0, 357.0, 20.0, 28.0]]","[1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_000.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_001.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_002.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_003.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_004.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_005.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_006.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_007.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0_120_40_0_05358_jpg.rf.12603b69f812c67aeea9d453e681dd3f_tile_008.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_000.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_001.jpg,"[[504.0, 167.0, 38.0, 32.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_002.jpg,"[[376.0, 167.0, 38.0, 32.0]]",[1]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_003.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_004.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_005.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_006.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_007.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/1_110_90_0_05936_jpg.rf.ce0e8c8c4ae6aa6d796da74b143c2763_tile_008.jpg,[],[]
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0029_jpg.rf.b14e52e6c3d11f073edc244e8d4f6657_tile_000.jpg,"[[277.5, 441.0, 15.0, 28.0], [260.0, 458.5, 12.0, 21.0], [274.0, 474.5, 10.0, 21.0], [282.0, 490.5, 20.0, 29.0], [434.5, 278.0, 11.0, 26.0], [427.5, 240.5, 13.0, 25.0], [414.5, 264.5, 19.0, 31.0]]","[1, 1, 1, 1, 1, 1, 1]"
/home/huy/Documents/de_tai_tot_nghiep/Drone Thermal.v4i.voc/data_6_7_2026/0029_jpg.rf.b14e52e6c3d11f073edc244e8d4f6657_tile_001.jpg,"[[234.0, 393.0, 12.0, 22.0], [298.0, 396.0, 8.0, 26.0], [286.5, 445.5, 13.0, 29.0], [277.5, 313.0, 15.0, 28.0], [260.0, 330.5, 12.0, 21.0], [274.0, 346.5, 10.0, 21.0], [282.0, 362.5, 20.0, 29.0], [434.5, 150.0, 11.0, 26.0], [427.5, 112.5, 13.0, 25.0], [414.5, 136.5, 19.0, 31.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
